Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Account enabled (true/false) [accountEnabled],First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [officeLocation],City [city],ZIP or postal code [postalCode],Business phone [businessPhones],Mobile phone [mobilePhone]
Ted Williams,tedwilliams@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Ted,Williams,,CEO,,,,,,,,,
Bill Smith,billsmith@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Bill,Smith,,Sales & Marketing,,,,,,,,,
John Williams,johnwilliams@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,John,Williams,,Sales & Marketing,,,,,,,,,
Kevin Jones,kevinjones@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Kevin,Jones,,Sales & Marketing,,,,,,,,,
Andrea Forsythe,andreaforsythe@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Andrea,Forsythe,,Sales & Marketing,,,,,,,,,
Amy Wilcox,amywilcox@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Amy,Wilcox,,Sales & Marketing,,,,,,,,,
Jimmy Button,jimmybutton@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Jimmy,Button,,Sales & Marketing,,,,,,,,,
Trevor Anderson,trevoranderson@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Trevor,Anderson,,Sales & Marketing,,,,,,,,,
Emily Peterson,emilypeterson@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Emily,Peterson,,Sales & Marketing,,,,,,,,,
Julie Lloyd,julielloyd@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Julie,Lloyd,,Sales & Marketing,,,,,,,,,
Jennifer Sorensen,jennifersorensen@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Jennifer,Sorensen,,Sales & Marketing,,,,,,,,,
Taysen Southerland,taysensoutherland@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Taysen,Southerland,,Engineering,,,,,,,,,
Lee McCrae,leemccrae@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Lee,McCrae,,Engineering,,,,,,,,,
Anthony Edwards,anthonyedwards@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Anthony,Edwards,,Engineering,,,,,,,,,
Sara Mitchell,saramitchell@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Sara,Mitchell,,Engineering,,,,,,,,,
Oxana Wetherby,oxanawetherby@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Oxana,Wetherby,,Engineering,,,,,,,,,
Janice Smith,janicesmith@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Janice,Smith,,Engineering,,,,,,,,,
Eric Lee,ericlee@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Eric,Lee,,Engineering,,,,,,,,,
Alyssa Jensen,alyssajensen@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Alyssa,Jensen,,Engineering,,,,,,,,,
Katie Clark,katieclark@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Katie,Clark,,Engineering,,,,,,,,,
Benjamin Washington,benjaminwashington@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Benjamin,Washington,,Engineering,,,,,,,,,
William Tent,williamtent@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,William,Tent,,Customer Success,,,,,,,,,
Cathy Arnold,cathyarnold@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Cathy,Arnold,,Customer Success,,,,,,,,,
Shannon Tate,shannontate@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Shannon,Tate,,Customer Success,,,,,,,,,
Trent Allen,trentallen@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Trent,Allen,,Customer Success,,,,,,,,,
Heather Summer,heathersummer@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Heather,Summer,,Customer Success,,,,,,,,,
Trisha Hyatt,trishahyatt@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Trisha,Hyatt,,Customer Success,,,,,,,,,
James Tritt,jamestritt@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,James,Tritt,,Customer Success,,,,,,,,,
Happy Sunday,happysunday@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Happy,Sunday,,Customer Success,,,,,,,,,
Henry Woodward,henrywoodward@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Henry,Woodward,,Customer Success,,,,,,,,,
Samantha Craig,samanthacraig@promisebeshelhotmail.onmicrosoft.com,P@ssw0rd123!,TRUE,Samantha,Craig,,Customer Success,,,,,,,,,
